,Einpersonenhaushalte (Singlehaushalte),Paare ohne Kind(er),Paare mit Kind(ern),Alleinerziehende Elternteile,Mehrpersonenhaushalte ohne Kernfamilie
0,0.0,0.0,0.015966057729862888,0.012301494034377296,0.0013193972753331763
1,0.0,0.0,0.016106872038465104,0.012409988341897252,0.0013310338369842212
2,0.0,0.0,0.016126769970016414,0.01242531925766972,0.0013326781550192523
3,0.0,0.0,0.016119940146856065,0.014588444507199096,0.00141767701761311
4,0.0,0.0,0.01630098320872537,0.014752287340201726,0.0014335989494361928
5,0.0,0.0,0.015757854023117458,0.014260758841193833,0.0013858331539669442
6,0.0,0.0,0.018063809632731676,0.019656505854312202,0.0021498237140312963
7,0.0,0.0,0.017408000127157562,0.01894287325699603,0.002071774019330369
8,0.0,0.0,0.017338030952535607,0.018866734861024137,0.0020634467952335813
9,0.0,0.0,0.01696269040454271,0.01845830032650522,0.0020187764833050005
10,0.0,0.0,0.01736115659104512,0.018891899500044874,0.0020661990411374458
11,0.0,0.0,0.01710381327197342,0.018611866076268357,0.002035571904268964
12,0.0,0.0,0.017548530735494873,0.0190957945278495,0.0020884989539091394
13,0.0,0.0,0.01743171802476048,0.018968682374926448,0.002074596751619428
14,0.0,0.0,0.01710440553106683,0.018612510555178045,0.002035642390654159
15,0.0,0.0,0.016535366907318983,0.021554482232060683,0.004193953206034413
16,0.0,0.0,0.01691538610396334,0.02204985176742232,0.00429033949955027
17,0.0,0.0,0.016982680896502584,0.022137573099414977,0.004307407836316021
18,0.010340105457798154,0.004157487635145175,0.011947235893301229,0.016017756154361202,0.02448842220438013
19,0.010739004672079543,0.004317874640656156,0.0124081347719561,0.016635687022726463,0.02543313330197838
20,0.011443637031997727,0.00460118899713341,0.01322228594830094,0.01772722611444139,0.02710191074326955
21,0.011791074201636033,0.004740884452141726,0.013623724196751228,0.018265437633167316,0.027924744527153357
22,0.012269014179947512,0.004933051694369703,0.014175948899587329,0.019005809775430184,0.029056647487428974
23,0.012907387300766134,0.0051897249330754925,0.014913542369353258,0.019994707328410136,0.03056850349028478
24,0.012853909586597085,0.0051682229342495545,0.014851752780376646,0.01991186552483777,0.030441852476091377
25,0.017546751950092886,0.010378887671729186,0.009422817240209717,0.01068492830240165,0.02962509064952013
26,0.0178238845456892,0.010542811347635123,0.009571640783566138,0.01085368556999324,0.030092987972616104
27,0.018377216154818004,0.01087010648651321,0.009868786525460796,0.011190631609226587,0.03102720640382832
28,0.0186538819593824,0.011033754055952253,0.010017359396408122,0.011359104628843257,0.03149431561943442
29,0.019281520146231215,0.011405001467343233,0.010354408665952374,0.011741298954345959,0.03255398969663013
30,0.013605743159885123,0.007853508111988995,0.014785229717859779,0.01100921096903388,0.015400683447501425
31,0.013413469958994919,0.007742524160200061,0.01457628828699906,0.010853631357731739,0.015183044567540908
32,0.013689012077923921,0.007901572603256355,0.01487571724706665,0.011076588772295313,0.015494937633594875
33,0.013389549223197066,0.00772871663124515,0.014550293854380761,0.010834275676543405,0.015155968084064412
34,0.013137322963727664,0.007583126570377332,0.014276202013655238,0.010630184501971184,0.01487046682672123
35,0.012730065578825903,0.00734804943137742,0.013833639345867952,0.010300648480572527,0.014409481932855114
36,0.01263408019746536,0.00729264474217456,0.013729332958756646,0.0102229810352207,0.014300833661566278
