Time-steps,AgeIndependent
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0.002016129
98,0.002016129
99,0.002016129
100,0.002016129
101,0.002016129
102,0.002016129
103,0.002016129
104,0.002016129
105,0.002016129
106,0.002016129
107,0.002016129
108,0.002016129
109,0.002016129
110,0.002016129
111,0.002016129
112,0.002016129
113,0.002016129
114,0.002016129
115,0.002016129
116,0.002016129
117,0.002016129
118,0.002016129
119,0.002016129
120,0.002016129
121,0.002016129
122,0.002016129
123,0.002016129
124,0.002016129
125,0.002016129
126,0.002016129
127,0.002016129
128,0.002016129
129,0.002016129
130,0.002016129
131,0.002016129
132,0.002016129
133,0.002016129
134,0.002016129
135,0.002016129
136,0.002016129
137,0.002016129
138,0.002016129
139,0.002016129
140,0.002016129
141,0.002016129
142,0.002016129
143,0.002016129
144,0.002016129
145,0.004032258
146,0.004032258
147,0.004032258
148,0.004032258
149,0.004032258
150,0.004032258
151,0.004032258
152,0.004032258
153,0.004032258
154,0.004032258
155,0.004032258
156,0.004032258
157,0.004032258
158,0.004032258
159,0.004032258
160,0.004032258
161,0.004032258
162,0.004032258
163,0.004032258
164,0.004032258
165,0.004032258
166,0.004032258
167,0.004032258
168,0.004032258
169,0.004032258
170,0.004032258
171,0.004032258
172,0.004032258
173,0.004032258
174,0.004032258
175,0.004032258
176,0.004032258
177,0.004032258
178,0.004032258
179,0.004032258
180,0.004032258
181,0.004032258
182,0.004032258
183,0.004032258
184,0.004032258
185,0.004032258
186,0.004032258
187,0.004032258
188,0.004032258
189,0.004032258
190,0.004032258
191,0.004032258
192,0.004032258
193,0.004032258
194,0.004032258
195,0.004032258
196,0.004032258
197,0.004032258
198,0.004032258
199,0.004032258
200,0.004032258
201,0.004032258
202,0.004032258
203,0.004032258
204,0.004032258
205,0.004032258
206,0.004032258
207,0.004032258
208,0.004032258
209,0.004032258
210,0.004032258
211,0.004032258
212,0.004032258
213,0.004032258
214,0.004032258
215,0.004032258
216,0.004032258
217,0.004032258
218,0.004032258
219,0.004032258
220,0.004032258
221,0.004032258
222,0.004032258
223,0.004032258
224,0.004032258
225,0.004032258
226,0.004032258
227,0.004032258
228,0.004032258
229,0.004032258
230,0.004032258
231,0.004032258
232,0.004032258
233,0.004032258
234,0.004032258
235,0.004032258
236,0.004032258
237,0.004032258
238,0.004032258
239,0.004032258
240,0.004032258
241,0.004032258
242,0.004032258
243,0.004032258
244,0.004032258
245,0.004032258
246,0.004032258
247,0.004032258
248,0.004032258
249,0.004032258
250,0.004032258
251,0.004032258
252,0.004032258
253,0.004032258
254,0.004032258
255,0.004032258
256,0.004032258
257,0.004032258
258,0.004032258
259,0.004032258
260,0.004032258
261,0.004032258
262,0.004032258
263,0.004032258
264,0.004032258
265,0.004032258
266,0.004032258
267,0.004032258
268,0.004032258
269,0.004032258
270,0.004032258
271,0.004032258
272,0.004032258
273,0.004032258
274,0.004032258
275,0.004032258
276,0.004032258
277,0.004032258
278,0.004032258
279,0.004032258
280,0.004032258
281,0.004032258
282,0.004032258
283,0.004032258
284,0.004032258
285,0.004032258
286,0.004032258
287,0.004032258
288,0.004032258
289,0.004032258
290,0.004032258
291,0.004032258
292,0.004032258
293,0.004032258
294,0.004032258
295,0.004032258
296,0.004032258
297,0.004032258
298,0.004032258
299,0.004032258
300,0.004032258
301,0.004032258
302,0.004032258
303,0.004032258
304,0.004032258
305,0.004032258
306,0.004032258
307,0.004032258
308,0.004032258
309,0.004032258
310,0.004032258
311,0.004032258
312,0.004032258
313,0.00625
314,0.00625
315,0.00625
316,0.00625
317,0.00625
318,0.00625
319,0.00625
320,0.00625
321,0.00625
322,0.00625
323,0.00625
324,0.00625
325,0.00625
326,0.00625
327,0.00625
328,0.00625
329,0.00625
330,0.00625
331,0.00625
332,0.00625
333,0.00625
334,0.00625
335,0.00625
336,0.00625
337,0.00625
338,0.00625
339,0.00625
340,0.00625
